Cleaned_Tweets,Retweets,Likes,Date
This is real,3690,96459,10/13/2022 0:10
" “My opinion is Burnt Hair is just Elon saying, chill out, have a laugh, and share a laugh.”",942,15552,10/12/2022 22:57
Oh the irony ,436,13905,10/12/2022 22:49
"We might need a different name, as this is basically just Starlink with roaming capability, so you can take your terminal anywhere.",2051,26738,10/12/2022 21:41
The counter-intuitive thing is that it’s actually gonna be a sick product!,473,16142,10/12/2022 21:19
"Please buy my perfume, so I can buy Twitter",43464,587878,10/12/2022 21:09
And right on cue  …,2019,33915,10/12/2022 20:26
You’re most welcome. Glad to support Ukraine.,2104,54885,10/12/2022 19:13
Doesn’t get more lit than this!,1370,28598,10/12/2022 4:57
BE the change you want in the world!,3530,38427,10/12/2022 4:53
Can’t wait for media stories tomorrow about $1M of Burnt Hair sold ,2467,53973,10/12/2022 4:46
"10,000 bottles of Burnt Hair sold!",3978,80178,10/12/2022 4:42
Over 5000 bottles of Burnt Hair sold!,4350,66961,10/12/2022 0:38
An omnigender product,946,23597,10/11/2022 23:21
"With a name like mine, getting into the fragrance business was inevitable – why did I even fight it for so long!?",13144,232238,10/11/2022 23:16
And you can pay with Doge!,2729,38121,10/11/2022 23:08
The finest fragrance on Earth!,12713,129977,10/11/2022 23:06
Nobody should trust Bremmer,7370,131079,10/11/2022 21:26
Maybe one day we can finally achieve,10946,155844,10/11/2022 20:53
The next question one is typically asked is “Have you tried ayahuasca?”,1035,17721,10/11/2022 20:44
Not subtle,78,1567,10/11/2022 18:04
"Sam, there is a such a thing as meditating too much",648,11444,10/11/2022 17:42
"Yes, back to regularly scheduled programming",298,6659,10/11/2022 17:31
"Pointless, as there is currently no overlap between Russian and Ukrainian demands – it’s not even close",506,9661,10/11/2022 17:29
"No, it is not. I have spoken to Putin only once and that was about 18 months ago. The subject matter was space.",8486,124857,10/11/2022 16:58
"Talked to ye today &amp; expressed my concerns about his recent tweet, which I think he took to heart",2440,57299,10/11/2022 0:19
It was built &amp; paid for at my request. Hunter &amp; team did great work.,537,13459,10/10/2022 22:30
It will,138,3365,10/10/2022 0:14
Strange,137,3334,10/10/2022 0:07
"I have no desire to become involved in wars, but it is safe to say that all bets are off if the nukes start flying",6621,96399,10/9/2022 23:53
Strong candidate to win most counter-intuitive product of the year!,488,13510,10/9/2022 22:21
Important to bear in mind when reading anything,1237,24196,10/9/2022 22:16
"Indeed, that kinetic energy scales with the square of velocity is not well-appreciated!A sealed escape pod with a heat shield would probably work.",870,22957,10/9/2022 22:12
So many blind spots,1601,47067,10/9/2022 22:06
"There are ~25k terminals in Ukraine, but each terminal can be used to provide an Internet uplink to a cell phone tower, so potentially several thousand people can be served by a single terminal",314,4142,10/9/2022 14:28
Coming soon from The,4268,66646,10/9/2022 14:18
"Yup, it will float",218,4372,10/9/2022 13:59
Too busy trying to survive at the time,104,2596,10/9/2022 13:51
They were invited to further their career elsewhere,66,2209,10/9/2022 13:49
There is a giant 30ft (literal) fork in the road outside the Autopilot office in Palo Alto,131,2470,10/9/2022 13:46
Mine,69,2430,10/9/2022 13:43
I love the inverse poetry of making metaphors literal,162,3080,10/9/2022 13:38
"That is quite an interesting story. We sent what appeared to be identical emails to all, but each was actually coded with either one or two spaces between sentences, forming a binary signature that identified the leaker.",368,5009,10/9/2022 13:30
Because it runs recursively,1700,38213,10/9/2022 13:23
Nuclear war probability is rising rapidly,11517,87150,10/9/2022 13:21
An eye for an eye leaves everyone blind,11623,96839,10/9/2022 13:19
Perhaps we can talk again today?,116,2898,10/9/2022 13:17
"True, Starlink provided a decisive battlefield advantage",280,5331,10/9/2022 13:10
I’ve been up all night trying to think of any possible way to de-escalate this war,2595,24628,10/9/2022 12:59
Feels so long ago. A pleasant memory :),471,15634,10/9/2022 12:53
Double-header,527,11592,10/8/2022 23:54
Agreed,2534,33499,10/8/2022 18:33
Beautiful,734,27012,10/8/2022 18:33
"Welcome back to Twitter, my friend!",27906,501559,10/8/2022 15:28
"Dojo uses bf16, so actual performance difference vs 64 bit is much less than it would seem, since you truncate so many useless zeroes &amp; round from there",341,5692,10/8/2022 1:52
Two Dragons on,651,16486,10/8/2022 1:43
Can’t wait to see this beast in action!,760,15115,10/7/2022 21:51
Even better build coming next week,735,14927,10/7/2022 20:11
"Quite a few. Trying to do the right thing, which is not always clear.",339,5809,10/7/2022 17:40
I am in regular contact with Fedorov,160,4049,10/7/2022 17:35
"Bad reporting by FT. This article falsely claims that Starlink terminals &amp; service were paid for, when only a small percentage have been. This operation has cost SpaceX $80M &amp; will exceed $100M by end of year.As for what’s happening on the battlefield, that’s classified.",3836,37186,10/7/2022 17:14
Starlink will provide the vast majority of bandwidth from space,176,2861,10/7/2022 15:39
You’d need an electric propeller mounted on the tow hitch to go faster than a few knots. There might a creative wheel hub design that can generate meaningful thrust.,198,3314,10/7/2022 15:31
Norway rocks!   ,824,21716,10/7/2022 14:31
In case you missed Tesla AI Day 2022,3087,42431,10/7/2022 14:11
Satellite constellation capability comes down to tonnage to orbit per year times capability per ton,262,4539,10/7/2022 13:32
SpaceX Dragon docking with  (extended video),6310,56918,10/7/2022 6:53
Very intense 7 days indeed,1079,29910,10/7/2022 5:21
"Personally, I like the latter, but to each their own",189,4202,10/7/2022 1:04
I think being able to dial the content you see from “warm &amp; fuzzy” all the way to “bring it on mf!” is the way to go,709,7216,10/7/2022 1:02
"Software engineering, server operations &amp; design will rule the roost",238,3450,10/7/2022 0:42
There will be very rapid product evolution,251,3487,10/7/2022 0:40
500 mile range &amp; super fun to drive,4228,97477,10/6/2022 23:52
Excited to announce start of production of Tesla Semi Truck with deliveries to  on Dec 1st!,31298,363590,10/6/2022 23:50
"Tiny helium leak (just barely triggered abort), but we take no risks with customer satellites. Standing down to investigate.",611,14264,10/6/2022 23:35
Agreed,404,12256,10/6/2022 22:44
Plot twist!,3124,64114,10/6/2022 22:36
Elon liking his own tweets liking his own tweets …,4106,171148,10/6/2022 22:08
Dragon is now docked to,1309,24559,10/6/2022 21:08
Video,1999,28045,10/6/2022 19:54
Starlink view of 2nd stage deorbit burn,5916,78343,10/6/2022 16:12
I will try my best,184,3249,10/6/2022 15:38
"I’m a big fan of Ukraine, but not of WW3",9422,130937,10/6/2022 15:16
Cute. You can get surprisingly close to a wild baby rhino &amp; Mom if you stay downwind.,400,10021,10/6/2022 13:54
There are no angels in war.,791,8530,10/6/2022 12:43
Accurate assessment,843,19090,10/6/2022 5:33
Correct,191,3887,10/6/2022 5:14
"So they’re saying that not buying Twitter is bad, but also buying Twitter is bad!?",2480,38417,10/6/2022 4:43
We talked via videoconference last year,174,2985,10/6/2022 4:42
War is the ultimate Supreme Court,18633,219768,10/6/2022 4:37
Kherson and Zaporizhzhia almost certainly do not want to join Russia – annexation of those regions was done to ensure a land bridge and water supply to Crimea,313,5291,10/6/2022 2:47
"Obviously, not everyone who voted for the pro-Russia party wanted to join Russia, but it would also be inaccurate to say that none did.",883,14018,10/6/2022 2:05
Below is the electoral map of 2012. Blue is the pro-Russia party.,6951,35884,10/6/2022 1:52
"Assuming you believe that the will of the people matters, we should, in any given conflict region, support the will of those who live there. Most of Ukraine unequivocally wants to be part of Ukraine, but some eastern portions have Russian majorities and prefer Russia.",6933,76050,10/6/2022 1:47
"First of all, Tesla hasn’t had that consumer tax credit for years &amp; we didn’t ask for this one – GM &amp; Ford did",4545,41444,10/6/2022 1:27
"Another batch of Starlinks in orbit, 7 hours after the astronaut launch",3120,42029,10/6/2022 1:21
That wouldn’t be hard to do,1138,36044,10/5/2022 19:48
Twitter is an accelerant to fulfilling the original  vision,884,12390,10/5/2022 19:09
"I do not think it is simple at all, but I have yet to hear any realistic path to peace.Ukraine has achieved many brilliant tactical victories, but should be wary of overconfidence leading to strategic defeat.When Russia fully mobilizes, millions on both sides will die.",396,4805,10/5/2022 18:47
10.69.3 will actually be a major upgrade. We’re keeping .69 just because haha.,1067,21210,10/5/2022 17:44
"Twitter probably accelerates X by 3 to 5 years, but I could be wrong",942,24310,10/4/2022 22:41
"Buying Twitter is an accelerant to creating X, the everything app",37574,430145,10/4/2022 22:39
"Should be noted that Starlink is still far from cash flow positive. All LEO communications constellations to date have gone bankrupt, so any support is super helpful.",1746,29270,10/4/2022 16:47
"A small number of terminals were paid for by the govt, vast majority were not. This is just another bs WaPo hit piece.",1373,15739,10/3/2022 23:50
"I still very much support Ukraine, but am convinced that massive escalation of the war will cause great harm to Ukraine and possibly the world.",8009,107697,10/3/2022 23:47
"We gave Starlinks to Ukraine &amp; lost $80M+ in doing so, while putting SpaceX &amp; myself at serious risk of Russian cyberattack.What have you done besides tweet?",11054,83391,10/3/2022 23:41
"SpaceX’s out of pocket cost to enable &amp; support Starlink in Ukraine is ~$80M so far. Our support for Russia is $0. Obviously, we are pro Ukraine.Trying to retake Crimea will cause massive death, probably fail &amp; risk nuclear war. This would be terrible for Ukraine &amp; Earth.",4536,41900,10/3/2022 23:25
"In other news, remote controlled anal beads sold out everywhere",1199,22072,10/3/2022 20:07
"That referendum was questionable, which is why I suggested repeating it under UN (or other trusted entity) supervision",210,4764,10/3/2022 19:20
"Great, offer a UN supervised vote and if Russia refuses, then war it is",129,2505,10/3/2022 19:13
Maybe a similar approach to Kosovo,453,6863,10/3/2022 19:09
"No, I’m suggesting voting under UN (or pick your most trusted entity or country) supervision",821,25338,10/3/2022 19:06
"Russia is doing partial mobilization. They go to full war mobilization if Crimea is at risk. Death on both sides will be devastating.Russia has &gt;3 times population of Ukraine, so victory for Ukraine is unlikely in total war. If you care about the people of Ukraine, seek peace.",12219,92546,10/3/2022 18:12
You are assuming that I wish to be popular. I don’t care.I do care that millions of people may die needlessly for an essentially identical outcome.,2668,30158,10/3/2022 17:59
Let’s try this then: the will of the people who live in the Donbas &amp; Crimea should decide whether they’re part of Russia or Ukraine,17853,99247,10/3/2022 17:55
